Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
1360,2,1,1981,0.5996366396268326,0,5,262382.8522740563
4272,3,3,2016,4.7530138494020395,1,6,985260.854490162
3592,1,2,2016,3.634822720478255,0,9,777977.3901185812
966,1,2,1977,2.73066687604351,1,8,229698.9186636115
4926,2,1,1993,4.699072554837388,0,8,1041740.8589249004
3944,5,3,1990,2.475930043628728,2,8,879796.9835223783
3671,1,2,2012,4.911960066216673,0,1,814427.8614089885
3419,1,1,1972,2.805281407595683,1,1,703413.1109446795
630,3,3,1997,1.0142859649909075,1,8,173875.03721558454
2185,4,2,1981,3.9416043760667474,2,5,504176.5060593679
1269,2,2,2006,3.5550397628502823,1,9,335332.59275293903
2891,2,3,1982,3.9784402458751407,0,2,635097.3959198
2933,5,3,1973,4.781489129265565,2,9,701133.8041471172
1684,5,3,1988,3.9942018619295814,1,8,440726.2848162878
3885,2,3,1983,3.251014709974911,1,9,838719.430503504
4617,5,1,2005,4.3578900606237845,0,4,1019192.6613592046
3404,3,3,1977,3.529608977095392,0,1,735850.8123421574
974,2,2,1986,2.336535755716654,2,1,234261.64997473895
1582,5,2,1956,4.4852889390879795,1,5,396246.3588887452
3058,2,1,2017,1.498552073529678,0,2,672852.0519810001
2547,4,2,1986,3.715885737089259,2,8,586086.5685389101
3247,1,2,2005,4.467035547233406,1,10,740174.0146550778
1475,2,3,2014,3.790924338664833,1,5,370167.09090271546
2306,1,2,2014,3.637739385742356,2,5,530824.1967752124
689,5,1,1996,3.8868723233232623,2,2,227515.3002879812
3234,1,3,1969,2.5927486173528997,0,7,652166.1423658864
3505,2,3,1968,4.433768069706617,1,8,745670.6371477235
2399,4,1,1978,1.4154641381124105,1,10,513161.95119306416
1767,5,3,2009,1.073238872001527,1,1,432357.9061027443
2028,2,3,1967,1.784789510533302,2,2,434165.89663405064
3702,5,1,1984,2.892098285487469,0,10,809686.201143527
4056,3,3,1992,2.7975280793420216,1,4,883819.0911218557
4390,1,1,1960,4.1926944095446395,2,5,912468.0479046734
1146,3,1,1998,2.3205589538180784,1,2,281313.0614448485
3388,2,2,1987,2.679549918311789,0,1,705923.3148916194
2935,4,2,2013,0.5601545746672804,1,9,656980.4604282172
1100,5,3,2018,2.343826563993226,0,1,318266.2771320871
2863,1,3,1957,3.4149840482765392,0,4,582468.7977365239
2561,5,1,1983,0.5697874878196648,1,2,541967.633559251
741,2,3,1997,1.763968843338097,1,4,188531.42345710634
2541,5,1,2005,1.4358036168022548,0,8,565562.7504321395
3324,1,1,2014,0.688934430093147,2,8,697574.5556670319
3112,2,3,1980,2.6566704046154186,0,9,666733.4734616925
1863,5,1,1953,1.3177548195267041,1,5,376388.0216286443
1978,4,2,1999,3.8438669283412104,1,7,485380.95019563066
3056,2,3,2018,4.315675476935068,2,3,735678.4622017285
1275,2,2,1979,2.9551333220111653,0,10,296291.0010075069
4514,4,3,2008,4.917683041345137,0,4,1046315.8960136625
534,3,1,2016,2.527153571617679,0,10,187508.58531168045
